EURUSD;15;Setup;Trend_Cont;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;60;K_D_MOM;ST_D_Angle;;;b;b;b;b;b;;;;b;b;;;;;;;;;;b;b;b;b;;;;;;2026.01.09;07:00
EURUSD;60;K_D_MOM;ST_MOM_Angle;;;b;b;b;b;b;;;b;b;b;;;;;;;;;;b;b;b;;;;;;;2026.01.09;07:00
EURUSD;60;K_D_MOM;ST_K_Angle;;;b;;;;;;;b;b;;;;b;;;;;;;b;b;;;;;;;;2026.01.09;07:00
EURUSD;60;TRIGGER;P.ActionBar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;TRIGGER;Stoc_Div.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;TRIGGER;TD_Alignm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;TRIGGER;MA_S&R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;TopDOG_Setup;;b;b;b;b;b;b;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;TD_Alignment;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;60;BellCurve;TD_Countdown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;SMIclimax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;SMI-div.;;;;;;;;;;;;;;;;;;;;;;;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;60;BellCurve;RSI_BB_Stoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;ADX_EXIT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;MFI_EXIT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;BellCurve;MT_LT_Stoc_Extreme;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;60;BellCurve;8EMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
